Posted Date,Reference Number,Payee,Address,Amount,Amount
5/27/2024,2.42698E+22,NEW GOLDEN SPARKLING SUPEORLANDO FL,ORLANDO       FL ,-56.68,-56.68
5/25/2024,2.4765E+22,TEN TEN SEAFOOD & GRILL ORLANDO FL,ORLANDO       FL ,-39.71,-39.71
5/25/2024,2.4765E+22,SF EXPRESS ORLANDO FL,ORLANDO       FL ,-42,-42
5/24/2024,2.4445E+22,PAPA JOHNS #261 407-774-7272 FL,407-774-7272  FL ,-18.19,-18.19
5/24/2024,2.4943E+22,COSTCO WHSE #0183 ALTAMONTE SPRFL,ALTAMONTE SPR FL ,-214.95,-214.95
5/24/2024,2.44922E+22,TEMU.COM 130-248-0611 MA,130-248-0611  MA ,-29.92,-29.92
5/24/2024,2.40552E+22,CITY OF MAITLAND CIT SER 407-539-6201 FL,407-539-6201  FL ,-85.22,-85.22
5/24/2024,2.40134E+22,ACT*City of OrlandoFPR 407-2464296 FL,407-2464296   FL ,-50,-50
5/23/2024,2.44311E+22,AMAZON.COM*T32HT6FF3 SEATTLE WA,SEATTLE       WA ,-29.21,-29.21
5/23/2024,2.4431E+22,APPLE.COM/BILL 866-712-7753 CA,866-712-7753  CA ,-2.99,-2.99
5/23/2024,2.40113E+22,AMAZON MAR* 111-411969 HTTPSAMAZON.CWA,HTTPSAMAZON.C WA ,-25.28,-25.28
5/23/2024,2.46922E+22,AMZN Mktp US*G479375X3 Amzn.com/billWA,Amzn.com/bill WA ,-19.79,-19.79
5/23/2024,2.46922E+22,Amazon.com*JT22M5HL3 Amzn.com/billWA,Amzn.com/bill WA ,-29.21,-29.21
5/23/2024,2.46922E+22,AMZN Mktp US*WM0YB4ZK3 Amzn.com/billWA,Amzn.com/bill WA ,-19.79,-19.79
5/23/2024,2.46922E+22,AMZN Mktp US*7U8NM1FI3 Amzn.com/billWA,Amzn.com/bill WA ,-49.21,-49.21
,,,,,
,,,,,-1825.12
